Week,search,predicted,residual
2017-01-02,9838.953427744294,9632.45246577109,206.50096197320454
2017-01-09,5284.634256114994,9643.935159338995,-4359.300903224001
2017-01-16,6174.960917655153,9633.63387692062,-3458.6729592654665
2017-01-23,13683.86931421106,9632.51300455512,4051.356309655941
2017-01-30,1062.8769057783147,10059.903875387492,-8997.026969609178
2017-02-06,9362.181487925967,9895.740395029005,-533.5589071030372
2017-02-13,26071.562843232405,9878.785349249807,16192.777493982598
2017-02-20,11760.411269504151,9811.39091343471,1949.0203560694408
2017-02-27,17294.192521006207,9810.33909667428,7483.853424331926
2017-03-06,4912.875999184011,9659.769602479028,-4746.893603295017
2017-03-13,8543.45727236143,9633.57299759097,-1090.1157252295416
2017-03-20,11673.646914702495,9638.739946384763,2034.9069683177313
2017-03-27,10935.85108451828,9649.799934154718,1286.0511503635607
2017-04-03,11912.12948240662,9634.13090142632,2277.9985809803
2017-04-10,460.19951388704794,9632.45246577109,-9172.252951884042
2017-04-17,2935.8507602592617,9632.45246577109,-6696.601705511828
2017-04-24,19792.19045169632,9632.45246577109,10159.737985925229
2017-05-01,11924.906509611325,9632.45246577109,2292.4540438402346
2017-05-08,15156.284354288395,20764.497621692288,-5608.213267403893
2017-05-15,20433.38820533651,19686.554305198326,746.8339001381828
2017-05-22,5027.616095749256,18206.618322831797,-13179.002227082541
2017-05-29,26796.762961250257,14688.814514371572,12107.948446878685
2017-06-05,1681.1846072517128,9724.458564459774,-8043.273957208061
2017-06-12,6136.1307449306005,10038.80976903911,-3902.679024108509
2017-06-19,19433.07524612029,9709.24128402048,9723.83396209981
2017-06-26,26945.763218857966,17080.758045174618,9865.005173683348
2017-07-03,1911.1581339328768,16141.753760282434,-14230.595626349557
2017-07-10,23098.3188090574,19721.763764310606,3376.555044746794
2017-07-17,17620.48249392016,14643.471345607517,2977.011148312644
2017-07-24,12774.111489084915,9858.048346124526,2916.063142960389
2017-07-31,6913.88689116151,9736.043700790402,-2822.156809628892
2017-08-07,3720.7517498658235,9702.384031301397,-5981.6322814355735
2017-08-14,11472.418511409227,9693.319615299652,1779.0988961095754
2017-08-21,19339.73338409383,10551.954687482104,8787.778696611726
2017-08-28,4045.1637889551166,11396.206675843028,-7351.042886887912
2017-09-04,3155.1927409595937,15179.026131637715,-12023.83339067812
2017-09-11,25152.690948261443,11702.334826625001,13450.356121636441
2017-09-18,1124.9472693826283,9758.727291853014,-8633.780022470386
2017-09-25,14195.941214292663,9656.500085454292,4539.441128838371
2017-10-02,9381.004253037458,9633.648474423508,-252.64422138605005
2017-10-09,11639.709030763232,9632.45246577109,2007.2565649921416
2017-10-16,7814.47853598913,9632.45246577109,-1817.9739297819597
2017-10-23,161.05119870065755,9632.45246577109,-9471.401267070432
2017-10-30,15347.014594522654,14282.1946488727,1064.8199456499533
2017-11-06,12964.19801479087,16630.533996038583,-3666.335981247712
2017-11-13,24477.33168900758,16552.80787159251,7924.523817415069
2017-11-20,20787.310850392052,17689.62993171462,3097.6809186774335
2017-11-27,25600.291119577276,18512.131809677776,7088.1593098995
2017-12-04,23825.851971663476,19564.25434402435,4261.597627639127
2017-12-11,25940.838020035786,21011.43820217817,4929.399817857615
2017-12-18,29390.77950943773,20908.402115435038,8482.377394002691
2017-12-25,1990.1875984261314,19997.74737634928,-18007.55977792315
2018-01-01,24827.075917012204,14645.965261438692,10181.110655573511
2018-01-08,6296.004133959841,9632.47740348279,-3336.4732695229486
2018-01-15,19725.232263116482,9632.455453333054,10092.776809783429
2018-01-22,25756.53418403971,9632.45298444535,16124.081199594359
2018-01-29,6849.279389772186,9632.452507265036,-2783.17311749285
2018-02-05,426.51978566674825,9632.45246577109,-9205.932680104343
2018-02-12,6923.583508643781,9632.45246577109,-2708.868957127309
2018-02-19,21968.81845268755,9632.45246577109,12336.365986916458
2018-02-26,8609.517033680184,9632.45246577109,-1022.935432090906
2018-03-05,9038.859904876716,9632.45246577109,-593.5925608943744
2018-03-12,2782.0879867036465,9632.45246577109,-6850.364479067443
2018-03-19,2950.9197146229653,9632.45246577109,-6681.532751148125
2018-03-26,6441.155964571562,9632.45246577109,-3191.2965011995275
2018-04-02,6604.702730048632,9632.45246577109,-3027.7497357224584
2018-04-09,18806.93749118907,9632.45246577109,9174.48502541798
2018-04-16,4680.906365011055,9632.45246577109,-4951.546100760035
2018-04-23,10309.022561288839,9632.45246577109,676.570095517749
2018-04-30,10584.903360137807,12714.092561119518,-2129.189200981711
2018-05-07,10728.228319148886,14897.053532105288,-4168.8252129564025
2018-05-14,1792.0452899715674,15044.422563002541,-13252.377273030974
2018-05-21,33305.05105532796,14225.340831246467,19079.710224081493
2018-05-28,5474.439922167401,13902.990867575183,-8428.550945407782
2018-06-04,3795.3786516356868,14094.523363673314,-10299.144712037627
2018-06-11,20302.308277389897,14544.817793863826,5757.490483526071
2018-06-18,25454.62525708309,14737.868747978373,10716.756509104718
2018-06-25,14729.359643068125,15211.235105129845,-481.8754620617201
2018-07-02,17843.800648470584,13742.428973698225,4101.371674772359
2018-07-09,4602.619601133114,10662.877051741681,-6060.2574506085675
2018-07-16,21851.7156886913,9680.163752980745,12171.551935710555
2018-07-23,14611.421046162228,9673.365590881363,4938.055455280864
2018-07-30,11256.467005473416,9760.036488560863,1496.4305169125528
2018-08-06,15574.26928293976,10350.073099746116,5224.196183193644
2018-08-13,16947.433592301044,9848.482658596899,7098.950933704145
2018-08-20,1676.8985829514868,10146.312168505983,-8469.413585554496
2018-08-27,12467.731695725437,9964.405138850723,2503.326556874714
