Orig_Variable,Trans_Variable,AggregateVariable,Variable_Type,Include,VaryBy,Transform,TransformType,Lag,Scale,Effective,Recency,Decay,Period,Alpha,Window,Trim,Prior_Mean,Prior_SD,Simulate,Spent_Variable,VIF,Estimate,Error,Tvalue,R2,DW
Intercept,Intercept,Base,Base,1,None,N,None,NA,1,NA,NA,0,0,NA,NA,NA,0,1000000000000,N,NA,NA,9632.45246577109,783.5260471498041,12.293723355861124,0.14956015079921314,2.2613762151875685
TV_GRPs,TV_GRPs_t,TV,Marketing,1,None,Y,adr,0,1,2,1,0.1,2,NA,NA,NA,0,1000000000000,Y,NA,1.1870351688708536,390.01319272233366,96.69852367672421,4.033290043043456,0.14956015079921314,2.2613762151875685
DigitalDisplay_Impressions,DigitalDisplay_Impressions_t,Display,Marketing,1,None,Y,adstock_log,NA,1e-7,NA,NA,0.9,1,NA,NA,NA,0,1000000000000,Y,NA,1.1870351688708536,2074.697302477973,1489.5386452955104,1.392845569351692,0.14956015079921314,2.2613762151875685
