Week,GeoCode,KPI,seasonality,base_price,acv_distribution,price_discount,feature,display,feature_display,video,audio,digital_display,search,OOH,PR,samples
2017-08-14,geo1,53.5049393,1.022138354,4.346444205,55.01765528,7.791634999,0.652702631,0.178095799,0,0.379771042,0.169814869,0.049434465,80.8,0,21.49588255,0
2017-08-21,geo1,51.344732709999995,1.00913456,4.349189804,54.63232182,5.563078761,3.041535827,0.018618991,0.412644738,0.543638411,0.155656161,0.054495289,80.6,0,0.008495565,0
2017-08-28,geo1,53.514621850000005,1.016399882,4.352783341,55.21422627,7.31974674,2.372905501,0.516801334,0,0.59988069,0.117023855,0.046174792,75.8,0,16.4444542,0
2017-09-04,geo1,52.44292903,1.013337786,4.343397284,54.35560476,8.000752509,3.495625725,0.476409544,0,1.360445204,0.090698648,0.045541729,75.7,0,26.99694163,0
2017-09-11,geo1,53.00400945,1.026842684,4.363403779,53.88424799,8.923629852,3.456424648,1.033520588,3.475354749,0.235253625,0.104547268,0.029293221,80.7,0,9.628365769,0
2017-09-18,geo1,52.799202490000006,1.028375527,4.353059301,53.78088104,7.906314006,2.398750091,0.720428891,0,0.572562558,0.107046664,4.02e-6,69.39999999999999,0,24.1764732,0
2017-09-25,geo1,53.80885728,1.007957575,4.390339104,55.12971122,6.020862556,3.452019082,0,2.430347506,0.630443806,0.162472577,0,71.7,0,38.80417858,0
2017-10-02,geo1,67.0496871,1.128786082,4.542976727,55.69313637,5.001313853,10.24209639,0,10.86130723,0.2286454,0,0,83.7,0,29.43734415,0
2017-10-09,geo1,68.05224567,1.120095012,4.504385903,56.65207215,12.258299,3.1411431420000002,9.282474932,2.43050408,0.360802653,0,0.555922748,67.8,0,10.08968129,0
2017-10-16,geo1,61.342213580000006,1.045037689,4.415734186,56.07891495,10.41967586,0.929559115,9.588610021,0,0.387491313,0,0.60019467,64.4,0,28.2866138,0
2017-10-23,geo1,55.95298717,1.012463571,4.325664104,55.86743848,6.670498094,5.079388151,0,1.939848197,0.414865494,0,0.74682473,62.9,0,20.70672615,0
2017-10-30,geo1,56.97963348,1.015617022,4.348382456,56.22795522,8.366971883,3.654344948,3.841313253,0,0.421413666,0,1.238871011,51.699999999999996,0,18.85664873,0
