Delta,rc_fb_total_imp,rc_DIS_IMP,rc_US_YT_percinview,rc_RelAVG_P_CapM,fb_total_spd,DIS_COST,US_YT_Spend
-1,0,0,0,0,0,0,0
-0.95,549.095104955486,34.018440653569996,62.862600599299185,-1452.9620273786131,125484.93550000011,71670.80541250006,36242.43500000003
-0.9,1040.7656732316827,59.84086783474777,124.17815977509599,-2905.92405475711,250969.87099999993,143341.61082499998,72484.86999999998
-0.85,1486.9326317131054,81.83178446278907,184.02861458307598,-4358.886082135607,376454.80650000006,215012.41623750003,108727.30500000001
-0.8,1895.9706987323007,101.37570177880116,242.48913855408318,-5811.84810951422,501939.74199999985,286683.22164999996,144969.73999999996
-0.75,2274.035117530497,119.14012462692335,299.6288973126793,-7264.810136892716,627424.6775,358354.0270625,181212.175
-0.7,2625.805932043353,135.5167335071601,355.5116986948997,-8717.77216427133,752909.6130000001,430024.83247500006,217454.61000000002
-0.6499999999999999,2954.937468381715,150.76313544658478,410.19655487441923,-10170.734191649826,878394.5485000003,501695.63788750017,253697.04500000004
-0.6,3264.3452427330194,165.06171738391276,463.7381706665037,-11623.696219028323,1003879.484,573366.4433,289939.48
-0.55,3556.397218359867,178.54837977595162,516.1873695533723,-13076.658246406936,1129364.4194999998,645037.2487125,326181.9149999999
-0.5,3833.0458517861553,191.32823538256343,567.5914668992627,-14529.620273785433,1254849.355,716708.054125,362424.35
-0.44999999999999996,4095.9219461117173,203.48492477391846,617.9945981617784,-15982.582301164046,1380334.2905000001,788378.8595375001,398666.78500000003
-0.3999999999999999,4346.403013991774,215.0865034768358,667.4380085769808,-17435.544328542543,1505819.2260000003,860049.6649500001,434909.22000000003
-0.35,4585.664130894467,226.18935116019566,715.9603097189683,-18888.50635592104,1631304.1615,931720.4703625,471151.65499999997
-0.29999999999999993,4814.716459804098,236.84087269857991,763.5977074614493,-20341.468383299652,1756789.097,1003391.2757750001,507394.09
-0.25,5034.436907144962,247.08142628858332,810.3842051522806,-21794.43041067815,1882274.0325,1075062.0811875002,543636.5249999999
-0.19999999999999996,5245.591277470463,256.94573767494876,856.351785226143,-23247.392438056762,2007758.968,1146732.8866,579878.96
-0.1499999999999999,5448.852582252235,266.46396151871886,901.5305719936732,-24700.35446543526,2133243.9035,1218403.6920125003,616121.395
-0.09999999999999998,5644.8156824116595,275.66249373275787,945.9489779433934,-26153.316492813756,2258728.839,1290074.4974250002,652363.83
-0.04999999999999993,5834.009119681199,284.56460386235267,989.6338355577318,-27606.27852019237,2384213.7745000003,1361745.3028375,688606.265
