Week,KPI,d_Intercept,d_seasonID_cat,d_shelf_price,d_Desire,d_fb_total_imp_t,d_DIS_IMP_t,d_US_YT_percinview_t,d_RelAVG_P_CapM
2015-03-02,9688.1,16679.304340950377,-1523.768992463463,-5838.955816976898,67.35547481989968,60.0910423300442,7.163532343683056,0,-505.0024761895015
2015-03-09,9481.91,16679.304340950377,-1533.580334442314,-5924.682952959931,67.35547481989968,51.78129184067248,8.218342973681368,0,-519.6572093358881
2015-03-16,9617.78,16679.304340950377,-1341.8078713293287,-5959.9974190321955,67.35547481989968,52.961334776139815,8.444165238574707,0,-529.8476577227925
2015-03-23,9281.95,16679.304340950377,-1300.4113709522364,-6054.097765435807,67.35547481989968,43.87724876798811,8.46642964621483,0,-542.8547825117255
2015-03-30,9182.17,16679.304340950377,-1034.9282086418348,-6044.097715712615,65.94897332985877,8.972171009540016,4.020325751553968,0,-593.3110394063814
2015-04-06,8654.48,16679.304340950377,-1186.7128131915763,-6235.899295161255,68.37590325991707,4.743365805696748,0.4961833160999728,0,-619.285287524886
2015-04-13,8878.51,16679.304340950377,-840.7260842800719,-6258.0949111435475,68.37590325991707,16.78653417368067,2.5785842245472925,0,-625.806495738294
2015-04-20,9100.7,16679.304340950377,-859.573794156049,-6245.878197897872,68.37590325991707,21.51799697124398,6.000875251534387,0,-614.4991309899428
2015-04-27,9421.59,16679.304340950377,-446.6834021567914,-6443.377356507983,66.55481590456907,24.341095412847384,7.048554066714187,0,-610.2818346679672
2015-05-04,10669.67,16679.304340950377,-571.7047266379373,-5911.847592041571,64.36007209475143,31.869676038108587,8.504425289051015,0,-610.4060172134596
2015-05-11,10204,16679.304340950377,-800.8785927513072,-5947.114976836265,64.36007209475143,65.62092583315915,8.156626909210699,0,-620.740302818322
2015-05-18,13056.04,16679.304340950377,939.8271180072305,-5865.010126168642,64.36007209475143,81.2179348373663,8.763700804403117,0,-619.7441049868629
2015-05-25,10180.06,16679.304340950377,833.3927813459262,-5906.896811396294,64.36007209475143,77.82126984978369,8.835334183225985,0,-614.3503277648668
2015-06-01,10578.11,16679.304340950377,-113.92191965049625,-5932.710339625113,60.38315816118586,133.51015874059027,13.58317504825828,0,-595.107599053192
2015-06-08,10967.81,16679.304340950377,620.6916446518485,-5932.61917634503,60.38315816118586,144.0349787607467,13.378565347373382,0,-600.9646301562265
2015-06-15,10795.78,16679.304340950377,788.0026052168092,-5965.809243307346,60.38315816118586,136.0789599829073,13.895575433180047,0,-601.7579344704068
2015-06-22,10650.19,16679.304340950377,455.32399173598367,-5936.453634153554,60.38315816118586,111.41854113467008,13.676780281843962,0,-601.3560143239324
2015-06-29,14062.82,16679.304340950377,4000.558777194508,-5968.19341529328,62.70469237715902,242.97343555140796,7.6401210445268335,43.90842224919395,-623.000412474733
2015-07-06,11709.1,16679.304340950377,179.37144046155873,-5907.695473250994,62.738336109343955,230.74020235632082,1.143060175679414,21.870507640177763,-612.4458258138424
2015-07-13,11729.18,16679.304340950377,1061.4944142635588,-5888.621777510767,62.738336109343955,74.83146058538087,0.12127677719835561,2.432276682821035,-620.5974614187377
2015-07-20,12363.61,16679.304340950377,957.6537938793091,-5707.692224087396,62.738336109343955,93.27693673503096,0.012203733795824328,0.2460967620375081,-594.9417043893895
2015-07-27,12549.12,16679.304340950377,973.7953583592343,-5746.925159130815,62.39071941602882,239.4645042837853,2.6231359456666317,16.457190445776668,-586.3977494014691
2015-08-03,11227.84,16679.304340950377,615.7707092166019,-5774.642293682415,61.28444374128502,246.62961184577844,4.677655954975031,37.68050001325427,-578.5656757692511
2015-08-10,11278.97,16679.304340950377,651.4130353181976,-5726.936123443837,61.28444374128502,306.65144133428663,3.068674446658138,29.789124981668543,-577.2233580537985
2015-08-17,11019.38,16679.304340950377,467.73861567037505,-5725.99808968159,61.28444374128502,243.17532618343057,4.254898834979089,28.1261003293893,-571.8342706818197
2015-08-24,11115.75,16679.304340950377,204.0169770404665,-5762.01762659359,61.28444374128502,196.80887392237912,23.543479645942956,27.68615169782596,-567.2813208988405
2015-08-31,12955.86,16679.304340950377,1833.5120395980466,-5758.253976845243,60.81117733190433,171.0446137388277,15.03020913633144,27.88654373784371,-551.3879336278294
2015-09-07,9421.22,16679.304340950377,-1155.4850565293284,-5892.556716277316,64.42615735109219,167.9800668882406,12.153556441857097,7.942849884793185,-549.0671857946393
2015-09-14,10037.4,16679.304340950377,-719.6978635272116,-5821.229094617787,64.42615735109219,133.76128967391253,2.312092084347401,0.8253669485976735,-549.3198481931285
2015-09-21,9691.71,16679.304340950377,-820.3002832094127,-5952.472253635065,64.42615735109219,249.00736085219674,0.2659898569495208,0.08286556201110923,-556.0685299718054
2015-09-28,9827.3,16679.304340950377,-681.8241901362768,-5838.783515965537,65.71626403732026,195.12150750502443,0.06672035519038837,64.6122726987469,-549.6222223131291
2015-10-05,9700.86,16679.304340950377,-567.7208826397837,-5981.176810361145,67.01024657855766,144.6487441217149,0.0752152865239316,56.9144566101034,-555.5125802754709
2015-10-12,9295.21,16679.304340950377,-875.520217644678,-5956.432382117335,67.01024657855766,104.50950476541391,0.07708081503663818,7.526262256305275,-556.4757108766178
2015-10-19,9564.86,16679.304340950377,-543.4800723713397,-5940.5171117817135,67.01024657855766,185.0664664595828,4.4369766153567936,38.80126064582263,-559.9999148558159
2015-10-26,10975.28,16679.304340950377,508.5041152035019,-5936.776286936058,66.54531937251609,178.5091805634504,9.127270357135794,27.659285149563097,-571.2385853531588
