Week,KPI,predicted,residual
2015-03-02,9688.1,8946.18710481414,741.9128951858602
2015-03-09,9481.91,8828.738953846498,653.1710461535022
2015-03-16,9617.78,8976.412367700676,641.3676322993251
2015-03-23,9281.95,8901.639575284711,380.3104247152896
2015-03-30,9182.17,9085.9088472805,96.26115271950039
2015-04-06,8654.48,8711.022397454373,-56.54239745437371
2015-04-13,8878.51,9042.41787144661,-163.90787144661044
2015-04-20,9100.7,9055.24799338921,45.452006610790704
2015-04-27,9421.59,9276.906213001765,144.68378699823552
2015-05-04,10669.67,9690.080178479318,979.5898215206817
2015-05-11,10204,9448.708093381603,755.2919066183968
2015-05-18,13056.04,11288.718935538622,1767.3210644613791
2015-05-25,10180.06,11142.466659262904,-962.4066592629042
2015-06-01,10578.11,10245.04097457161,333.0690254283909
2015-06-08,10967.81,10984.208881370276,-16.398881370276285
2015-06-15,10795.78,11110.097461966709,-314.3174619667079
2015-06-22,10650.19,10782.297163786574,-132.10716378657344
2015-06-29,14062.82,14445.895961599159,-383.0759615991592
2015-07-06,11709.1,10655.026588628623,1054.073411371377
2015-07-13,11729.18,11371.702866439173,357.4771335608275
2015-07-20,12363.61,11490.597779693104,873.0122203068968
2015-07-27,12549.12,11640.712340868587,908.4076591314133
2015-08-03,11227.84,11292.139292270604,-64.29929227060347
2015-08-10,11278.97,11427.351579274839,-148.38157927483917
2015-08-17,11019.38,11186.051365346426,-166.67136534642668
2015-08-24,11115.75,10863.345319505846,252.40468049415358
2015-08-31,12955.86,12477.947014020257,477.9129859797431
2015-09-07,9421.22,9334.698012915074,86.52198708492506
2015-09-14,10037.4,9790.382440670199,247.01755932980086
2015-09-21,9691.71,9664.245647756343,27.46435224365632
2015-09-28,9827.3,9934.591177131717,-107.29117713171763
2015-10-05,9700.86,9843.54273027088,-142.6827302708789
2015-10-12,9295.21,9469.999124727063,-174.7891247270636
2015-10-19,9564.86,9930.622192240828,-365.76219224082706
2015-10-26,10975.28,10961.634639307325,13.64536069267524
2015-11-02,9407.01,9644.187207478615,-237.17720747861495
2015-11-09,9636.6,9830.595854597843,-193.99585459784248
2015-11-16,10647.88,10238.397869229753,409.48213077024593
2015-11-23,12848.32,12722.211299081035,126.10870091896504
2015-11-30,10610.61,10475.978631530992,134.63136846900852
2015-12-07,11420.47,11237.275501885477,183.1944981145225
2015-12-14,13457.96,13261.664080477993,196.29591952200644
2015-12-21,17008.97,18382.86401453363,-1373.8940145336273
2015-12-28,14133.13,14326.76488141856,-193.63488141856033
2016-01-04,8465.43,7794.091902267007,671.3380977329934
2016-01-11,9497.52,8871.451561972422,626.0684380275779
2016-01-18,9326.94,8757.40758015815,569.5324198418512
2016-01-25,9600.68,9321.950601902598,278.72939809740274
2016-02-01,10610.25,9599.073021709466,1011.176978290534
2016-02-08,9655.37,9070.940022954683,584.4299770453181
2016-02-15,9232.26,8910.250897866912,322.00910213308816
2016-02-22,9427.94,9103.217413694854,324.72258630514625
2016-02-29,8968.22,8935.36699843081,32.853001569188564
2016-03-07,8965.64,8915.415688073317,50.224311926682276
2016-03-14,9167.48,9175.940217195162,-8.46021719516284
2016-03-21,9399.99,9251.506128217574,148.48387178242592
2016-03-28,8840.15,9348.995155549015,-508.84515554901554
2016-04-04,8501.06,9085.654942407564,-584.5949424075643
2016-04-11,8769.78,9271.526057289408,-501.74605728940696
2016-04-18,8650.31,9310.718041513359,-660.4080415133594
2016-04-25,8788.01,9792.803409893546,-1004.7934098935457
2016-05-02,10115.08,9767.810184557466,347.2698154425343
2016-05-09,9652.56,9532.877877460609,119.68212253939055
2016-05-16,9988.79,11191.708399541316,-1202.918399541315
2016-05-23,13229.39,11619.989855723758,1609.400144276242
2016-05-30,9873.34,10328.596835402332,-455.2568354023315
2016-06-06,10803.02,11212.481628951731,-409.46162895173075
