Orig_Variable,Trans_Variable,AggregateVariable,Variable_Type,Include,VaryBy,Transform,TransformType,Lag,Scale,Effective,Recency,Decay,Period,Alpha,Window,Trim,Prior_Mean,Prior_SD,Simulate,Spent_Variable,VIF,Estimate,Error,Tvalue,R2,DW
Intercept,Intercept,Base,Base,1,None,N,None,NA,1,NA,NA,0,0,NA,NA,NA,0,1000000000000,N,NA,NA,132231.7256993115,52291.75718181696,2.5287298194923062,0.562557632112896,2.3221397862020168
TV_GRPs,TV_GRPs_t,TV,Marketing,1,None,Y,adr,0,1,2,1,0.1,6,NA,NA,NA,0,1000000000000,Y,NA,1.22903810346318,5271.9201154575185,3184.929184238179,1.6552707487336296,0.562557632112896,2.3221397862020168
DigitalDisplay_Impressions,DigitalDisplay_Impressions_t,Display,Marketing,1,None,Y,adstock_log,NA,1e-7,NA,NA,0.9,1,NA,NA,NA,0,1000000000000,Y,NA,1.1441207905044115,146202.80199245518,67827.4740703933,2.1555100495224355,0.562557632112896,2.3221397862020168
search,search,search,Marketing,1,None,N,adstock_log,NA,0.001,NA,NA,0.9,3,NA,NA,NA,0,1000000000000,Y,NA,1.166082826635739,42.919759754212585,3.7341392421952433,11.493883053214887,0.562557632112896,2.3221397862020168
