GeoCode,Variables,Estimate,Error,Tvalue
geo1,Intercept,-9.197632772052298,0.6238381451809912,-14.743620349447903
geo10,Intercept,-9.783932640307203,0.6795912280414241,-14.39679065385292
geo2,Intercept,-5.748984201805491,0.7603820000305845,-7.560652674016812
geo3,Intercept,-7.868188046064488,0.6627576390768647,-11.871893407405839
geo4,Intercept,-7.138509094410697,0.6996148041399806,-10.203484906506363
geo5,Intercept,-9.646683411900394,0.6058046791912066,-15.923751900991288
geo6,Intercept,-7.660035016992042,0.602480577259683,-12.714160930851703
geo7,Intercept,-7.888317348359566,0.6560896236295098,-12.023231376105493
geo8,Intercept,-9.014118484744179,0.601582961257494,-14.983998991430692
geo9,Intercept,-9.562021193519096,0.7489075427383031,-12.767959524825391
geo1,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo10,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo2,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo3,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo4,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo5,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo6,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo7,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo8,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo9,seasonality_t,5.066307197487866,0.16164420002283417,31.342338276116248
geo1,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo10,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo2,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo3,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo4,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo5,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo6,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo7,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo8,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo9,base_price_t,-0.5737706510216598,0.14798209280581873,-3.8772978550489783
geo1,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo10,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo2,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo3,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo4,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo5,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo6,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo7,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo8,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo9,acv_distribution_t,0.10170853291588702,0.005549981655773686,18.32592235869445
geo1,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo10,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo2,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo3,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo4,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo5,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo6,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo7,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo8,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo9,price_discount_t,0.006467783566230395,0.0051913705744177615,1.2458720627848436
geo1,feature_t,0.09815345123354924,0.02347395188349409,4.181377371850484
geo10,feature_t,0.04132996927893576,0.04132996927893576,1
geo2,feature_t,-0.0014574669743591404,0.0055188318878221995,-0.2640897573950699
geo3,feature_t,0.04132996927893576,0.04132996927893576,1
geo4,feature_t,0.010078516227130878,0.0051371804810219825,1.9618769993313285
geo5,feature_t,0.02830728995795873,0.006373003911850187,4.4417499737169726
geo6,feature_t,0.04132996927893576,0.04132996927893576,1
geo7,feature_t,0.006734432212198832,0.007071914995920227,0.9522784445350251
geo8,feature_t,0.04132996927893576,0.04132996927893576,1
geo9,feature_t,2.756469757283957e-4,0.005485803432800969,0.050247330059300814
geo1,display_t,0.19768054044427863,0.03591918946855722,5.503479988526004
geo10,display_t,0.09604892650796402,0.09604892650796402,1
geo2,display_t,0.00490091647220384,0.011647480180333208,0.4207705354570207
geo3,display_t,0.09604892650796402,0.09604892650796402,1
geo4,display_t,0.014418855040928148,0.013185820139244717,1.093512188749911
geo5,display_t,0.007854666996564832,0.005453016328564787,1.4404260914128144
geo6,display_t,0.09604892650796402,0.09604892650796402,1
geo7,display_t,0.003344639706876276,0.005901746995371565,0.5667202795205054
geo8,display_t,0.09604892650796402,0.09604892650796402,1
geo9,display_t,0.008119910065113603,0.006362757248563839,1.2761621649083623
geo1,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo10,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo2,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo3,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo4,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo5,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo6,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo7,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo8,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo9,feature_display_t,0.014445330090988646,0.003604862633435768,4.0071790689069635
geo1,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo10,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo2,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo3,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo4,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo5,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo6,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
geo7,video_t,-0.18189332197907482,0.021573487371338518,-8.431336058384765
