Week,GeoCode,KPI,d_Intercept,d_seasonality_t,d_base_price_t,d_acv_distribution_t,d_price_discount_t,d_feature_t,d_display_t,d_feature_display_t,d_video_t,d_audio_t,d_digital_display_t,d_search_t,d_OOH_t,d_PR_t,d_samples_t
2017-01-02,geo1,50.60654237,-6.139926503868267,27.59820834152252,-14.076722496128466,32.16702072038164,0.39152185102748804,3.766371661194936,0,0.20844540431454917,-0,0,0,2.790203724368748,0,0.26297977674528095,0
2017-01-09,geo1,56.435065390000005,-6.139926503868267,30.75744713870691,-14.144923884588472,32.40735116399301,0.3665828153268871,3.078564560735882,1.915221226792366,0.23253184495156998,-0,0,0,2.966601092502454,0,0.14869586698204154,0
2017-01-16,geo1,53.41700606,-6.139926503868267,30.515215563433255,-14.0325047187771,32.24352411882058,0.35064194535982773,1.7399754098241007,3.645448051641824,0.2341167491138338,-0,0,0,2.998006413472822,0,0.09521954318572722,0
2017-01-23,geo1,53.60544244,-6.139926503868267,30.212084149865586,-14.064854374115441,32.12592652838463,0.35128997129799905,1.6285876726100814,4.010128569653938,0.10580760631953841,-0,0,0,2.9915672336066743,0,0.6527748375135116,0
2017-01-30,geo1,55.1537365,-6.139926503868267,31.47407513917021,-14.047876592477293,31.936440460011397,0.34909850977368956,1.9747995020494404,3.4749448112994776,0.028265242990988815,-0,0,0,2.992956611996551,0,1.0355255775289876,0
2017-02-06,geo1,54.22633293,-6.139926503868267,30.144467955288597,-14.010197814092427,31.840729012087106,0.3149633371501631,1.3826144739684807,3.7880066442706686,0.03611845225352093,-0,0,0,2.9528967366038534,0,0.6889392825860865,0
2017-02-13,geo1,53.44988084,-6.139926503868267,29.18175387712541,-14.000956630660689,32.46314590715851,0.27200190140322117,0.8373516720224309,3.4058620745541286,0.048116253321406274,-0,0,0,2.913583315491547,0,1.4965226576524944,0
2017-02-20,geo1,51.770001709999995,-6.139926503868267,29.298515161466142,-14.017137210192583,32.24116991674144,0.2899166922677042,1.2630917586327415,2.076306676716297,0.07733034429457808,-0,0,0,2.952281231628324,0,1.0684535313774632,0
2017-02-27,geo1,56.53186434,-6.139926503868267,31.03469448124266,-14.028212627365331,31.85843346937805,0.31266172463361797,1.9658214613958516,1.9119133641300596,0.03706730023570392,-0,0,0,2.992740575884787,0,0.72229674114073,0
2017-03-06,geo1,58.684449990000005,-6.139926503868267,31.735185684903886,-14.058061997305394,32.18188639947743,0.3214072479807976,2.209248017619826,1.8612202659581967,1.1630011708350166e-18,-0,0,0,2.996618471690945,0,0.41206903477382273,0
2017-03-13,geo1,54.97192205,-6.139926503868267,31.862369646867183,-14.06100211049572,32.44868514702321,0.2975996284181905,2.183527107001245,1.6358284294968104,1.1630011708350166e-18,-0,0,0,2.9646852927778657,0,0.2057427296687471,0
2017-03-20,geo1,54.69827276,-6.139926503868267,30.622247338803433,-14.03557498089997,32.24461879445632,0.239637346278341,4.1657774785858885,1.6441805218441594,1.1630011708350166e-18,-0,0,0,2.748956286091935,0,1.1470008268180893,0
2017-03-27,geo1,55.36107525,-6.139926503868267,29.81515196132772,-14.0484159385901,32.08731980942802,0.2483517716224112,4.275351299330689,2.523553622537759,0.013395549183178588,-0.022559809003209266,0,1.6654376736379066,2.501505527336721,0,0.7459834255116411,0
2017-04-03,geo1,56.748638740000004,-6.139926503868267,30.370555968843565,-14.036663646733372,32.031031280340656,0.27460892803961234,1.505596196173398,1.5938219851428905,0.03259407952479167,-0.2169405396150472,0,1.7370563499102907,2.470998987117599,0,0.42635450880655734,0
2017-04-10,geo1,56.2861902,-6.139926503868267,29.742421166247105,-14.028774732419976,31.922151885509923,0.25677675321175125,1.0693194499918381,0.2913355367184567,0.03517759832962902,-0.6658106485307873,0,1.7427600081529047,2.554249048903616,0,0.21181473022379163,0
2017-04-17,geo1,49.66401551,-6.139926503868267,28.89536804403019,-14.046239801262825,31.78929043927953,0.296979691625724,1.6909466688211938,0.0635314259143154,0.12149901781051685,-0.7522319140007755,0,1.9863989352570157,2.6984549120327137,0,0.19357421518121037,0
2017-04-24,geo1,55.09917324,-6.139926503868267,31.465116918932296,-14.046185721036869,31.838858834832788,0.2982728045355775,2.9960745671597944,1.3844363525256334,0.1055199498225009,-0.770149545842623,0,1.9998681996125203,2.853740081093155,0,0.05020079631819216,0
